Student_ID,Course_ID,Rating
40111230,40BA142,1
40111230,40BA152,2
40111230,40BD052,1
40111256,40B9431,4
40111256,40B9662,4
40205303,40BA052,2
40205303,40BA092,2
40205303,40BA122,1
40205303,40BA142,3
40205303,40BA152,1
40205303,40BD032,2
40205303,40BD052,1
40205303,40BR042,1
40205303,40BR072,3
40205303,40BR082,2
40205303,40BR122,2
40205303,40BR222,2
40205303,40BR242,1
40205303,40BR322,2
40205303,40BR342,4
40205303,40BR372,1
40211101,4069203,5
40211101,40BA011,5
40211101,40BA021,5
40211101,40BA051,3
40211101,40BA081,4
40211101,40BA091,4
40211101,40BA121,4
40211101,40BA151,5
40211101,40BC011,5
40211101,40BC021,2
40211101,40BC051,3
40211101,40BC061,4
40211101,40BQ021,5
40211101,40BQ051,5
40211101,40BQ171,5
40211101,40BQ321,4
40211101,40BQ331,3
40211101,40BQ371,5
40211101,40BQ391,5
40211101,40BR342,5
40211101,40BR372,5
40211101,40PQ041,5
40211101,40UN070,4
40211101,40UN110,4
40211102,409D021,4
40211102,409U053,5
40211102,40B9431,4
40211102,40B9662,5
40211102,40BA021,4
40211102,40BA051,3
40211102,40BA061,5
40211102,40BA081,4
40211102,40BA101,3
40211102,40BA121,3
40211102,40BA131,5
40211102,40BA141,4
40211102,40BA151,4
40211102,40BC011,3
40211102,40BC021,4
40211102,40BC051,4
40211102,40BC061,3
40211102,40BQ021,5
40211102,40BQ141,2
40211102,40BQ321,4
40211102,40BQ371,5
40211102,40BQ391,4
40211102,40BQ421,3
40211102,40KA513,5
40211102,40KE011,4
40211102,40WN081,3
40211102,433N062,5
40211102,433Q051,2
40211103,409U053,2
40211103,40B0291,2
40211103,40BA011,1
40211103,40BA021,1
40211103,40BA051,4
40211103,40BA061,4
40211103,40BA081,3
40211103,40BA091,1
40211103,40BA121,2
40211103,40BA131,3
40211103,40BA141,1
40211103,40BC011,1
40211103,40BC021,2
40211103,40BQ021,2
40211103,40BQ051,3
40211103,40BQ371,3
40211103,40UN050,1
40211104,40B0291,2
40211104,40BA011,2
40211104,40BA021,2
40211104,40BA051,4
40211104,40BA061,5
40211104,40BA081,4
40211104,40BA091,1
40211104,40BA101,2
40211104,40BA121,3
40211104,40BA131,4
40211104,40BA141,3
40211104,40BC011,1
40211104,40BC021,3
40211104,40BC061,2
40211104,40BQ021,3
40211104,40BQ051,5
40211104,40BQ171,4
40211104,40BQ321,2
40211104,40BQ331,2
40211104,40BQ371,4
40211104,40BQ401,4
40211104,40BQ421,2
40211104,40UN110,4
40211105,409A012,3
40211105,409Q082,2
40211105,40B0291,1
40211105,40BA011,1
40211105,40BA021,2
40211105,40BA051,3
40211105,40BA091,1
40211105,40BA121,3
40211105,40BA131,3
40211105,40BA141,1
40211105,40BA151,3
40211105,40BC051,2
40211105,40BC061,1
40211105,40BQ021,2
40211105,40BQ051,2
40211105,40BQ141,3
40211105,40BQ171,1
40211105,40BQ371,4
40211105,40BQ401,1
40211105,40BQ421,3
40211105,40BR222,1
40211105,40BR242,4
40211105,40KN152,2
40211105,40UN020,4
40211106,409A012,2
40211106,40B0291,2
40211106,40BA011,1
40211106,40BA051,1
40211106,40BA061,5
40211106,40BA091,1
40211106,40BA101,2
40211106,40BA121,3
40211106,40BA131,4
40211106,40BA141,3
40211106,40BA151,4
40211106,40BC011,1
40211106,40BC021,3
40211106,40BC051,3
40211106,40BC061,4
40211106,40BQ021,3
40211106,40BQ051,4
40211106,40BQ141,4
40211106,40BQ321,3
40211106,40BQ331,2
40211106,40BQ371,4
40211106,40BQ401,4
40211106,40BQ421,3
40211106,432N442,2
40211106,432N861,1
40211107,409Q522,4
40211107,409R181,2
40211107,40B0291,2
40211107,40BA021,1
40211107,40BA051,3
40211107,40BA061,3
40211107,40BA081,1
40211107,40BA101,2
40211107,40BA121,3
40211107,40BA151,3
40211107,40BC011,1
40211107,40BC021,4
40211107,40BC051,1
40211107,40BC061,1
40211107,40BQ021,1
40211107,40BQ051,2
40211107,40BQ171,1
40211107,40BQ331,1
40211107,40BQ371,3
40211107,40BQ381,3
40211107,40BQ391,2
40211107,40BQ421,3
40211107,40BR242,2
40211107,40KN021,1
40211107,40KN633,2
40211107,40UN110,4
40211108,409Z481,5
40211108,409Z491,5
40211108,40B0291,2
40211108,40BA011,3
40211108,40BA021,4
40211108,40BA051,3
40211108,40BA061,5
40211108,40BA081,4
40211108,40BA091,2
40211108,40BA121,4
40211108,40BA141,4
40211108,40BA151,4
40211108,40BC011,3
40211108,40BC051,3
40211108,40BC061,5
40211108,40BQ021,3
40211108,40BQ141,4
40211108,40BQ171,4
40211108,40BQ321,3
40211108,40BQ331,3
40211108,40BQ371,5
40211108,40BQ381,4
