Method,Student_ID,Course_ID,Actual,Predicted,Error,Tier
Item_Content,40411202,40BR472,3,3.0003,0.0003,0
Item_Content,40311247,40BA052,5,4.4527,0.5473,0
Item_Content,40211206,40BR122,5,4.1237,0.8763,0
Item_Content,40511218,40B0292,5,3.3106,1.6894,1
Item_Content,40211202,40BR342,2,3.4468,1.4468,0
Item_Content,40311256,40BA122,3,4.2274,1.2274,0
Item_Content,40211109,40BA091,1,2.5472,1.5472,0
Item_Content,40311211,40BA062,1,3.1139,2.1139,0
Item_Content,40311211,40BA012,1,3.1031,2.1031,0
Item_Content,40211148,40BQ021,4,3.6667,0.3333,0
Item_Content,40211220,40BA082,4,4.4518,0.4518,0
Item_Content,40311215,40BR372,4,3.2079,0.7921,0
Item_Content,40311207,40BA222,5,3.6632,1.3368,0
Item_Content,40211250,40BR222,4,3.781,0.219,0
Item_Content,40211133,40BA121,3,4.0,1.0,0
Item_Content,40311259,40BA122,1,3.5624,2.5624,0
Item_Content,40211138,40BQ331,3,3.3333,0.3333,0
Item_Content,40211121,40BC051,3,2.5556,0.4444,0
Item_Content,40311108,40BA061,2,2.7726,0.7726,0
Item_Content,40211125,40BC051,4,3.5556,0.4444,0
Item_Content,40411111,40BC011,1,1.8666,0.8666,0
Item_Content,40211138,40B0291,2,3.3333,1.3333,0
Item_Content,40311155,40BA011,4,3.2382,0.7618,0
Item_Content,40211217,40BA102,5,4.118,0.882,0
Item_Content,40411202,40BA062,2,2.9827,0.9827,0
Item_Content,40211106,40BQ051,4,2.4444,1.5556,0
Item_Content,40511204,40B0292,5,2.4981,2.5019,0
Item_Content,40211150,40BC011,3,3.6667,0.6667,0
Item_Content,40311108,40BA141,2,2.6662,0.6662,0
Item_Content,40411129,40B0291,2,1.2,0.8,0
Item_Content,40311109,40BA011,1,1.0,0.0,0
Item_Content,40411145,40BA051,1,1.6783,0.6783,0
Item_Content,40211125,40BA091,1,3.4444,2.4444,0
Item_Content,40311226,40BR072,4,3.4471,0.5529,0
Item_Content,40211135,40BA011,4,3.0,1.0,0
Item_Content,40211217,40BA092,5,4.1259,0.8741,0
Item_Content,40311134,409A011,2,1.8842,0.1158,0
Item_Content,40211102,40BQ391,4,3.6652,0.3348,0
Item_Content,40211117,40BQ051,4,2.1105,1.8895,0
Item_Content,40311236,40BA082,4,3.9006,0.0994,0
Item_Content,40311244,40BR072,3,3.2275,0.2275,0
Item_Content,40411248,40BA012,4,3.671,0.329,0
Item_Content,40311246,40BA052,3,1.68,1.32,0
Item_Content,40311140,40BQ341,5,4.111,0.889,0
Item_Content,40411120,40BC071,4,3.9853,0.0147,0
Item_Content,40211232,40BA012,1,2.4813,1.4813,0
Item_Content,40211102,40BA151,4,3.6652,0.3348,0
Item_Content,40411118,40BA081,1,1.0,0.0,0
Item_Content,40211156,40BQ171,3,4.3362,1.3362,0
Item_Content,40211207,40BR082,5,3.6874,1.3126,0
Item_Content,40211113,40B9662,4,2.7794,1.2206,0
Item_Content,40311150,40B0291,3,1.8412,1.1588,0
Item_Content,40311127,40BA061,1,1.0,0.0,0
Item_Content,40311247,40BR372,4,4.4414,0.4414,0
Item_Content,40211129,40BA101,4,3.6667,0.3333,0
Item_Content,40211127,40B0291,4,4.0,0.0,0
Item_Content,40211102,40KA393,4,3.6652,0.3348,0
Item_Content,40211245,40BR082,3,2.7911,0.2089,0
Item_Content,40411163,40BA221,3,3.5216,0.5216,0
Item_Content,40311117,40BQ341,4,3.3328,0.6672,0
Item_Content,40311111,40BA141,2,2.3333,0.3333,0
Item_Content,40211146,40BA021,2,3.0,1.0,0
Item_Content,40311150,40BA101,1,1.8412,0.8412,0
Item_Content,40311216,40BR022,3,3.2158,0.2158,0
Item_Content,40411150,40BA051,1,2.4198,1.4198,0
Item_Content,40211126,40KA513,3,2.5556,0.4444,0
Item_Content,40211126,40KE011,3,2.5556,0.4444,0
Item_Content,40211252,40BA052,3,4.221,1.221,0
Item_Content,40411242,40BA222,3,2.1183,0.8817,0
Item_Content,40211162,40BA091,1,2.5556,1.5556,0
Item_Content,40411129,40BQ031,3,1.2,1.8,0
Item_Content,40411247,40BA052,3,3.154,0.154,0
Item_Content,40211158,40BC061,3,3.0,0.0,0
Item_Content,40211214,40BA012,4,2.7787,1.2213,0
Item_Content,40211107,40BA141,1,2.0008,1.0008,0
Item_Content,40311256,40B8932,5,4.1113,0.8887,0
Item_Content,40211252,40BA142,5,4.2353,0.7647,0
Item_Content,40311138,40BA081,3,2.995,0.005,0
