"40211101","40B0291","93","504","1"
"40211101","40BA011","94","505","1"
"40211101","40BA051","95","503","1"
"40211102","40BA051","95","503","1"
"40211102","40B0291","93","502","1"
"40211102","40BA011","94","504","1"
"40211103","40BA051","95","504","1"
"40211103","40BA011","94","501","1"
"40211103","40B0291","93","502","1"
"40211104","40BA051","95","504","1"
"40211104","40BA011","94","502","1"
"40211104","40B0291","93","502","1"
"40211105","40B0291","93","501","1"
"40211105","40BA051","95","503","1"
"40211105","40BA011","94","501","1"
"40211106","40BA051","95","501","1"
"40211106","40BA011","94","501","1"
"40211106","40B0291","93","502","1"
"40211107","40BA011","94","501","1"
"40211107","40B0291","93","502","1"
"40211107","40BA051","95","503","1"
"40211108","40BA051","95","503","1"
"40211108","40BA011","94","503","1"
"40211108","40B0291","93","502","1"
"40211109","40BA051","95","502","1"
"40211109","40BA011","94","501","1"
"40211109","40B0291","93","502","1"
"40211110","40B0291","93","502","1"
"40211110","40BA011","94","503","1"
"40211110","40BA051","95","503","1"
"40211111","40BA051","95","502","1"
"40211111","40BA011","94","502","1"
"40211111","40B0291","93","502","1"
"40211112","40B0291","93","502","1"
"40211112","40BA011","94","501","1"
"40211112","40BA051","95","502","1"
"40211113","40BA051","95","503","1"
"40211113","40BA011","94","502","1"
"40211113","40B0291","93","502","1"
"40211114","40B0291","93","501","1"
"40211114","40BA011","94","501","1"
"40211114","40BA051","95","503","1"
"40211115","40BA051","95","503","1"
"40211115","40BA011","94","503","1"
"40211115","40B0291","93","502","1"
"40211116","40B0291","93","503","1"
"40211116","40BA051","95","502","1"
"40211116","40BA011","94","503","1"
"40211117","40BA051","95","503","1"
"40211117","40BA011","94","501","1"
"40211117","40B0291","93","503","1"
"40211118","40BA051","95","504","1"
"40211118","40B0291","93","504","1"
"40211118","40BA011","94","503","1"
"40211119","40BA011","94","501","1"
"40211119","40B0291","93","503","1"
"40211119","40BA051","95","503","1"
"40211120","40BA051","95","501","1"
"40211120","40B0291","93","503","1"
"40211120","40BA011","94","504","1"
"40211121","40BA011","94","503","1"
"40211121","40BA051","95","502","1"
"40211121","40B0291","93","502","1"
"40211122","40BA011","94","505","1"
"40211122","40B0291","93","503","1"
"40211122","40BA051","95","502","1"
"40211123","40BA011","94","503","1"
"40211123","40B0291","93","504","1"
"40211123","40BA051","95","503","1"
"40211125","40B0291","93","502","1"
"40211125","40BA011","94","504","1"
"40211125","40BA051","95","502","1"
"40211126","40B0291","93","503","1"
"40211126","40BA011","94","501","1"
"40211126","40BA051","95","505","1"
"40211127","40BA051","95","504","1"
"40211127","40BA011","94","502","1"
"40211127","40B0291","93","504","1"
"40211128","40B0291","93","502","1"
"40211128","40BA051","95","501","1"
"40211128","40BA011","94","502","1"
"40211129","40B0291","93","503","1"
"40211129","40BA011","94","504","1"
"40211129","40BA051","95","503","1"
"40211130","40BA011","94","501","1"
"40211130","40B0291","93","501","1"
"40211130","40BA051","95","503","1"
"40211131","40B0291","93","501","1"
"40211131","40BA051","95","501","1"
"40211131","40BA011","94","501","1"
"40211132","40BA051","95","503","1"
"40211132","40BA011","94","502","1"
"40211132","40B0291","93","502","1"
"40211133","40BA051","95","503","1"
"40211133","40BA011","94","505","1"
